x,y
444,226
523,227
586,228
688,229
648,230
436,251
488,255
442,264
576,264
710,264
533,272
646,273
444,275
639,276
512,278
615,279
507,281
428,308
493,310
435,313
512,315
488,319
625,320
527,323
661,323
657,342
674,344
490,346
599,347
482,349
632,350
437,352
630,353
553,379
449,382
543,384
455,387
532,389
575,415
445,417
542,418
705,419
543,421
435,423
518,424
714,425
453,452
516,454
451,457
516,459
489,463
427,226
481,229
502,232
520,233
602,234
500,236
595,237
699,238
706,240
511,242
520,244
603,245
667,247
678,248
481,251
593,253
498,255
704,256
601,257
520,259
591,260
482,262
597,262
629,268
596,269
559,270
481,271
665,271
564,272
482,273
706,273
606,274
569,275
499,276
682,276
605,277
534,278
662,279
493,286
672,286
659,287
595,288
485,289
707,289
715,290
679,291
667,292
603,293
566,294
521,295
430,305
429,305
517,309
694,309
427,311
642,311
582,312
535,313
482,314
690,314
651,315
579,316
533,317
534,318
498,320
488,376
494,379
697,379
703,380
626,381
538,382
494,383
449,384
667,384
628,385
563,386
514,387
493,388
522,390
595,400
561,401
480,402
475,403
698,403
668,404
630,405
571,406
530,407
494,408
713,408
441,410
663,410
577,414
526,423
474,425
547,426
480,428
566,429
492,431
552,432
523,465
498,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
548,465
550,467
429,305
496,309
665,309
662,310
586,311
482,312
704,312
645,313
549,314
446,315
696,315
594,316
531,317
504,318
693,318
439,336
540,377
623,377
714,377
431,381
471,383
445,386
485,388
716,394
493,401
491,404
480,407
546,408
629,408
712,408
461,414
463,422
580,423
430,424
453,425
696,425
627,426
606,427
567,428
535,429
447,430
709,430
630,431
489,432
539,438
579,442
572,444
568,446
584,449
469,463
484,466
429,305
517,309
694,309
427,311
642,311
582,312
535,313
482,314
690,314
651,315
579,316
533,317
534,318
498,320
488,376
494,379
697,379
703,380
626,381
538,382
494,383
449,384
667,384
628,385
563,386
514,387
493,388
522,390
468,400
539,401
719,401
434,403
657,403
606,404
576,405
535,406
496,407
470,408
682,408
709,409
616,410
631,413
507,423
444,425
502,426
447,428
520,429
443,431
528,432
457,465
550,466
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
546,461
518,465
492,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
545,465
548,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
548,465
550,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
546,461
518,465
492,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
545,465
548,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
548,465
550,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
546,465
544,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
546,461
518,465
492,467
429,305
518,309
698,309
430,311
649,311
595,312
555,313
503,314
700,314
671,315
597,316
569,317
562,318
499,322
462,377
527,379
433,380
451,381
658,381
596,382
554,383
498,384
718,384
699,385
628,386
600,387
567,388
685,391
632,400
595,401
540,402
500,403
425,404
711,404
680,405
640,406
606,407
549,408
522,409
517,410
484,411
551,422
433,424
533,425
480,427
541,428
490,430
440,432
442,464
545,465
548,467
429,305
518,309
