timestamp,x,y
1744634647.435826,-70.0,-200
1744634647.5531447,-50.0,-200.0
1744634647.672608,-30.0,-200.0
1744634647.7927742,-10.0,-200.0
1744634647.913216,10.0,-200.0
1744634648.0337179,30.0,-200.0
1744634648.152949,50.0,-200.0
1744634648.272642,70.0,-200.0
1744634648.3924186,90.0,-200.0
1744634648.886009,-60.0,-180
1744634649.0069427,-40.0,-180.0
1744634649.126668,-20.0,-180.0
1744634649.2464259,0.0,-180.0
1744634649.3675869,20.0,-180.0
1744634649.48769,40.0,-180.0
1744634649.6064959,60.0,-180.0
1744634649.7225807,80.0,-180.0
1744634650.1528976,-50.0,-160
1744634650.273995,-30.0,-160.0
1744634650.3935754,-10.0,-160.0
1744634650.5136232,10.0,-160.0
1744634650.633674,30.0,-160.0
1744634650.754119,50.0,-160.0
1744634650.8740575,70.0,-160.0
1744634651.2411847,-40.0,-140
1744634651.3605778,-20.0,-140.0
1744634651.4802854,0.0,-140.0
1744634651.5994215,20.0,-140.0
1744634651.7192755,40.0,-140.0
1744634651.838963,60.0,-140.0
1744634652.1420069,-30.0,-120
1744634652.2632632,-10.0,-120.0
1744634652.3834686,10.0,-120.0
1744634652.5034547,30.0,-120.0
1744634652.6248531,50.0,-120.0
1744634652.8726318,-20.0,-100
1744634652.9925618,0.0,-100.0
1744634653.1131372,20.0,-100.0
1744634653.2328084,40.0,-100.0
1744634653.415619,-10.0,-80
1744634653.5373175,10.0,-80.0
1744634653.6584783,30.0,-80.0
1744634653.777108,0.0,-60
1744634653.8981729,20.0,-60.0
1744634654.4470327,-80,-190
1744634654.5366018,-60,-190
1744634654.5366108,-60,-190
1744634654.6229482,-60,-170
1744634654.7132432,-40,-170
1744634654.7132514,-40,-170
1744634654.7992036,-40,-150
1744634654.8872476,-20,-150
1744634654.8872547,-20,-150
1744634654.9738736,-20,-130
1744634655.0644984,0,-130
1744634655.0645058,0,-130
1744634655.3565729,-70,-170
1744634655.4429355,-50,-170
1744634655.4429402,-50,-170
1744634655.5277302,-50,-150
1744634655.615767,-30,-150
1744634655.6157749,-30,-150
1744634655.7021224,-30,-130
1744634655.7905264,-10,-130
1744634655.7905338,-10,-130
1744634655.876363,-10,-110
1744634655.963902,10,-110
1744634655.9639099,10,-110
1744634656.2564516,-60,-150
1744634656.3448687,-40,-150
1744634656.3448756,-40,-150
1744634656.4308648,-40,-130
1744634656.518491,-20,-130
1744634656.5184984,-20,-130
1744634656.6046262,-20,-110
1744634656.6923323,0,-110
1744634656.69234,0,-110
1744634656.7788372,0,-90
1744634656.8665311,20,-90
1744634656.8665388,20,-90
1744634657.157622,-50,-130
1744634657.2467015,-30,-130
1744634657.2467093,-30,-130
1744634657.3318224,-30,-110
1744634657.4197857,-10,-110
1744634657.4197931,-10,-110
1744634657.506265,-10,-90
1744634657.5938447,10,-90
1744634657.593849,10,-90
1744634657.679483,10,-70
1744634657.7679312,30,-70
1744634657.7679386,30,-70
